trace_idx,field_record,trace_number,source_x,source_y,receiver_x,receiver_y,receiver_elev_m,source_offset_m,pick_time_s,pick_quality,flag
224,381,0,434853.48,6478675.84,434866.96,6478661.76,2807.9500000000003,653.6428333580023,1.191,8.583515571763808,ok
225,382,0,434853.08,6478675.84,434866.96,6478661.76,2807.9500000000003,654.0215238050151,1.191,8.323761018621905,ok
226,383,0,434853.04000000004,6478675.84,434866.96,6478661.76,2807.9500000000003,654.0593942450548,1.191,8.70415731126151,ok
227,379,0,434853.8,6478677.12,434879.4,6478666.24,2823.19,652.928502058348,1.192,8.424699071081688,ok
228,380,0,434854.0,6478677.12,434879.4,6478666.24,2823.19,652.7390572044419,1.192,8.371634178880356,ok
229,381,0,434853.48,6478675.84,434879.4,6478666.24,2823.19,653.6428333580023,1.192,8.524822619753685,ok
230,382,0,434853.08,6478675.84,434879.4,6478666.24,2823.19,654.0215238050151,1.192,8.14993265132587,ok
231,383,0,434853.04000000004,6478675.84,434879.4,6478666.24,2823.19,654.0593942450548,1.192,8.698384110353988,ok
232,369,0,434902.32,6478697.600000001,434891.96,6478670.72,2838.35,600.4163901826412,1.194,8.790903510009022,ok
233,370,0,434902.64,6478697.600000001,434891.96,6478670.72,2838.35,600.112630761881,1.194,8.715679890416029,ok
234,371,0,434902.32,6478698.88,434891.96,6478670.72,2838.35,600.0151264761627,1.194,8.639001464661007,ok
235,372,0,434902.08,6478698.24,434891.96,6478670.72,2838.35,600.4433575284761,1.194,8.694403251947433,ok
236,373,0,434901.4,6478697.600000001,434891.96,6478670.72,2838.35,601.2897923629961,1.194,8.672871344003314,ok
237,369,0,434902.32,6478697.600000001,434904.52,6478674.5600000005,2853.59,600.4163901826412,1.195,9.07477571319406,ok
238,370,0,434902.64,6478697.600000001,434904.52,6478674.5600000005,2853.59,600.112630761881,1.196,8.981521628039866,ok
239,371,0,434902.32,6478698.88,434904.52,6478674.5600000005,2853.59,600.0151264761627,1.196,8.903021355478062,ok
240,372,0,434902.08,6478698.24,434904.52,6478674.5600000005,2853.59,600.4433575284761,1.196,8.897213001904522,ok
241,373,0,434901.4,6478697.600000001,434904.52,6478674.5600000005,2853.59,601.2897923629961,1.196,8.998549515980997,ok
242,369,0,434902.32,6478697.600000001,434917.36,6478679.04,2868.83,600.4163901826412,1.197,8.570457595295611,ok
243,370,0,434902.64,6478697.600000001,434917.36,6478679.04,2868.83,600.112630761881,1.197,8.551620580090866,ok
244,371,0,434902.32,6478698.88,434917.36,6478679.04,2868.83,600.0151264761627,1.197,8.37730929823668,ok
245,372,0,434902.08,6478698.24,434917.36,6478679.04,2868.83,600.4433575284761,1.197,8.485710687471483,ok
246,373,0,434901.4,6478697.600000001,434917.36,6478679.04,2868.83,601.2897923629961,1.197,8.463522787184637,ok
247,369,0,434902.32,6478697.600000001,434930.16000000003,6478683.5200000005,2884.07,600.4163901826412,1.199,8.357532254289836,ok
248,370,0,434902.64,6478697.600000001,434930.16000000003,6478683.5200000005,2884.07,600.112630761881,1.199,8.407149777229574,ok
249,371,0,434902.32,6478698.88,434930.16000000003,6478683.5200000005,2884.07,600.0151264761627,1.199,8.24335113656031,ok
250,372,0,434902.08,6478698.24,434930.16000000003,6478683.5200000005,2884.07,600.4433575284761,1.199,8.289283152366595,ok
